Gerente Regional,Coordinador de Operaciones,Local,SIGLA SISTEMA,SIGLA TICKETS,ID_Generador,Razón Social,CUIT,Estado match sábana,Estado match CUIT,Observación
Cecilia Riccadonna,Paula Martinez,San Luis,FSLS,FMSLI,089,GRUPO KRAN S. A. S.,30719276535,Match confirmado,Completado desde V2+CUIT,Razón Social/CUIT completados desde V2+Detalle CUIT
Melisa Castillo,Iris Ayala,Villa del Parque,FVDP,FVDP,001,TRESOL,30718977394,Match confirmado,Match exacto,
Melisa Castillo,Iris Ayala,Caseros,FMMCB,FMMCB,,TRESOL,30718977394,Sin coincidencia en sábana,Match exacto,
Melisa Castillo,Iris Ayala,San Martín 2,FMSVP,FMSVP,021,LIBERTAD OPERACIONES  S.A,33717869279,Match confirmado,Completado desde V2+CUIT,Razón Social/CUIT completados desde V2+Detalle CUIT
Melisa Castillo,Iris Ayala,San Martín Auto,FSMA,F3DF,022,LOS INVENCIBLES S.A,30717060233,Match confirmado,Completado desde V2+CUIT,Razón Social/CUIT completados desde V2+Detalle CUIT
Melisa Castillo,Iris Ayala,San Isidro,FSIS,FMSIS,015,BARSI FOOD S.A,30715843508,Match confirmado,Match exacto,
Melisa Castillo,Iris Ayala,Grand Bourg,FGBG,FGRBG,082,ZVEZA S.R.L,30716736020,Match confirmado,Match exacto,
Melisa Castillo,Iris Ayala,José C. Paz,FJCP,FMJCP,083,BURGERBUS S.A.,30715665464,Match confirmado,Match exacto,
Melisa Castillo,Iris Ayala,Zárate,FZAR,FMZAR,008,LYSON,30717872076,Match confirmado,Match exacto,
Melisa Castillo,Iris Ayala,Palmas Pilar,FPPI,FPMPI,014,AYAM MARCELO ROBERTO,23254355879,Match confirmado,Match por equivalencia validada,
Melisa Castillo,Iris Ayala,La Rioja,FMRVP,FMRVP,016,ARLEQUINO SRL,30711911509,Match confirmado,Match exacto,
Melisa Castillo,Iris Ayala,Catamarca,FCAT,FMCAT,017,CORCAN S.R.L,30716741245,Match confirmado,Match exacto,
Melisa Castillo,Iris Ayala,Gualeguaychú,FMGUA,FMGUA,009,MOSTAZA GUALEGUAYCHU SRL,30719250595,Match confirmado,Match exacto,
Melisa Castillo,Camilo Silva,Parque Chac,FPCH,FMPCH,059,EZIO S.A,30717196607,Match confirmado,Match por equivalencia validada,
Melisa Castillo,Camilo Silva,Boedo,FBOE,FMBOE,090,BOEDO GOURMET SRL,33717012459,Match confirmado,Match exacto,
Melisa Castillo,Camilo Silva,San Telmo,FSTM,FMSTO,091,ROSDA S.R.L,30715942190,Match confirmado,Match por equivalencia validada,
Melisa Castillo,Camilo Silva,Av. de Mayo,FAVM,FAMAY,092,TREVAGO S.A.,30712489959,Match confirmado,Match exacto,
Melisa Castillo,Camilo Silva,Av. de Mayo 2,FAVM2,FAMA2,093,TREVAGO S.A.,30712489959,Match confirmado,Match exacto,
Melisa Castillo,Camilo Silva,9 de Julio,F9DJ,FM9JU,094,L&A BURGER,30716568764,Match confirmado,Match por equivalencia validada,
Melisa Castillo,Camilo Silva,Callao,FMCYC,FMCYC,095,CUANTODEJA SRL,30717516903,Match confirmado,Completado desde V2+CUIT,Razón Social/CUIT completados desde V2+Detalle CUIT
Melisa Castillo,Camilo Silva,Av. Córdoba,,,,,,Sin coincidencia en sábana,Pendiente de revisión,
Melisa Castillo,Camilo Silva,Urquiza,FURQ,FMURQ,013,LOS INVENCIBLES S.A,30717060233,Match confirmado,Completado desde V2+CUIT,Razón Social/CUIT completados desde V2+Detalle CUIT
Melisa Castillo,Camilo Silva,Ribera Santa Fe,FRSF,FSFER,097,OPERADOR RIBERA S.R.L,30716271494,Match confirmado,Match por equivalencia validada,
Melisa Castillo,Camilo Silva,Walmart Sta. Fe,FWSF,FSFEW,098,IMEGA S.R.L,30711454418,Match confirmado,Match por equivalencia validada,
Melisa Castillo,Camilo Silva,Santa Fe P.,FMSFV,FMSFV,099,LIBERTAD OPERACIONES  S.A,33717869279,Match confirmado,Match por equivalencia validada,
Melisa Castillo,Camilo Silva,Rafaela,FRAF,FRAFA,096,IMPRUV S.A.,30711967407,Match confirmado,Match exacto,
Melisa Castillo,Elisabet Gassman,Portal Rosario,FPRO,FPROS,100,IMEGA S.R.L,30711454418,Match confirmado,Match por equivalencia validada,
Melisa Castillo,Elisabet Gassman,Pellegrini,FPEL,FMROS,101,PELLEGRINI BEST FOOD S.A,30716942410,Match confirmado,Match exacto,
Melisa Castillo,Elisabet Gassman,Rosario Sur,FRSM,FRSM,102,GAMISUR S.A,30717263584,Match confirmado,Match exacto,
Melisa Castillo,Elisabet Gassman,Oroño,FROA,FORO,103,MADILAGA S.A.,30716709589,Match confirmado,Match exacto,
Melisa Castillo,Elisabet Gassman,San Nicolás,FMSNI,FMSNI,104,PUA NANI S.R.L,33718090739,Match confirmado,Match exacto,
Melisa Castillo,Elisabet Gassman,Puma,FMPUM,FMPUM,105,FGC FUELS MARKETING S.A,33714877769,Match confirmado,Match exacto,
Melisa Castillo,Elisabet Gassman,Funes,FMFUN,FMFUN,106,ALADOS SA,30717092941,Match confirmado,Match exacto,Corrección: SIGLA SISTEMA FMPUM->FMFUN (era duplicada de Puma)
Melisa Castillo,Elisabet Gassman,Alto Rosario,MAR,MAR,107,Propios,30711454418,Match confirmado,Completado desde V2+CUIT,Razón Social/CUIT completados desde V2+Detalle CUIT
Melisa Castillo,Elisabet Gassman,City Center,MCR,MCR,108,Propios,,Match confirmado,Pendiente de revisión,
,,Güemes,FGUE,FGUE,012,LOS INVENCIBLES S.A,30717060233,Pendiente de asignar regional/coordinador,Match exacto,Local operativo EN OBSERVACIÓN: sin regional/coordinador hasta definición
Darío D.,Agustina Grigas,Mendoza Centro,FMMSM,FMMSM,040,ALIMENTOS DEL OESTE S.R.L,30715092197,Pendiente de asignar regional/coordinador,Completado desde V2+CUIT,Razón Social/CUIT completados desde V2+Detalle CUIT; Regional Darío D. / Coord. Agustina Grigas (otra región)
Darío D.,Agustina Grigas,Mendoza Colón,FMMCO,FMMCO,041,ALIMENTOS DEL OESTE S.R.L,30715092197,Pendiente de asignar regional/coordinador,Match exacto,Regional Darío D. / Coord. Agustina Grigas (otra región)
Darío D.,Agustina Grigas,San Rafael,FSRM,FSRM,042,FARTRES MDZ S.A,30717266427,Pendiente de asignar regional/coordinador,Match exacto,Regional Darío D. / Coord. Agustina Grigas (otra región)
,,Bariloche,FBA1,FMBRC,049,BURIEL GASTRONOMICA S.A.,30715567608,Pendiente de asignar regional/coordinador,Match exacto,Huérfano: sin regional/coordinador hasta definición (decisión P)
